patient_id,average_generation
CT-096,60.15
CT-051,60.45
CT-153,62.45
CT-069,68.3
CT-109,71.85
CT-083,72.95
CT-012,87.25
CT-111,88.1
CT-142,96.35
CT-169,97.7
CT-146,98.55
CT-139,101.5
CT-131,101.55
CT-151,102.2
CT-155,107.95
CT-119,108.3
CT-165,109.05
CT-159,109.5
CT-115,109.6
CT-164,109.9
CT-133,109.95
CT-120,110.4
CT-023,111.7
CT-025,112.05
CT-154,113.7
CT-175,113.85
CT-179,113.95
CT-128,116.1
CT-112,116.7
CT-140,118.65
CT-117,119.95
CT-049,120.95
CT-177,122.0
CT-052,123.35
CT-102,123.55
CT-101,125.95
CT-176,128.85
CT-099,129.6
CT-029,131.05
CT-087,131.35
CT-059,133.2
CT-042,133.75
CT-098,133.8
CT-054,134.4
CT-158,134.9
CT-106,135.8
CT-060,136.05
CT-108,136.2
CT-126,136.5
CT-067,136.6
CT-178,136.6
CT-124,137.45
CT-011,138.45
CT-075,139.6
CT-024,140.3
CT-090,140.4
CT-136,140.45
CT-118,140.55
CT-167,140.8
CT-138,141.9
CT-127,142.6
CT-104,142.8
CT-144,143.4
CT-107,144.15
CT-134,144.55
CT-080,144.85
CT-105,145.55
CT-125,145.95
CT-015,146.5
CT-156,147.05
CT-174,147.2
CT-121,147.55
CT-160,147.8
CT-150,147.95
CT-016,148.4
CT-184,149.3
CT-172,149.55
CT-100,150.2
CT-041,150.25
CT-097,151.5
CT-147,152.6
CT-062,153.4
CT-053,155.6
CT-055,157.45
CT-073,157.7
CT-091,158.9
CT-123,159.2
CT-163,159.85
CT-084,159.95
CT-143,161.3
CT-074,162.1
CT-071,165.85
CT-009,166.95
CT-076,167.95
CT-129,173.25
CT-137,176.1
CT-086,177.25
CT-047,177.35
CT-065,185.35
CT-056,186.9
