patient_id,average_generation
CT-056,47.25
CT-102,71.9
CT-073,72.2
CT-131,74.0
CT-076,81.2
CT-133,81.65
CT-146,85.95
CT-154,87.35
CT-169,87.5
CT-054,90.2
CT-176,91.05
CT-125,93.45
CT-112,93.9
CT-083,94.5
CT-111,94.6
CT-175,97.05
CT-155,97.6
CT-067,99.05
CT-090,100.7
CT-109,101.05
CT-104,101.8
CT-174,102.6
CT-053,103.5
CT-009,103.95
CT-140,104.9
CT-128,105.7
CT-115,106.0
CT-042,108.0
CT-011,109.0
CT-012,109.75
CT-147,110.05
CT-120,111.4
CT-134,111.55
CT-080,112.25
CT-139,112.35
CT-096,114.15
CT-142,115.0
CT-151,116.2
CT-165,117.45
CT-159,117.95
CT-150,118.25
CT-107,118.65
CT-108,122.45
CT-052,123.05
CT-075,123.95
CT-124,124.05
CT-123,124.45
CT-143,124.5
CT-167,125.35
CT-105,126.95
CT-084,129.7
CT-099,129.9
CT-160,129.95
CT-164,131.65
CT-023,131.8
CT-163,132.25
CT-041,132.45
CT-062,132.9
CT-049,133.4
CT-137,134.4
CT-100,134.45
CT-101,135.0
CT-178,135.05
CT-097,135.65
CT-069,136.2
CT-117,136.25
CT-087,136.7
CT-156,136.95
CT-016,137.1
CT-179,137.35
CT-153,137.55
CT-059,137.6
CT-106,138.75
CT-126,138.75
CT-074,139.0
CT-098,139.55
CT-177,139.6
CT-055,139.7
CT-029,139.9
CT-024,140.45
CT-138,141.75
CT-158,142.8
CT-118,144.1
CT-136,144.5
CT-051,144.7
CT-121,144.8
CT-060,145.0
CT-091,145.05
CT-127,146.1
CT-047,146.25
CT-184,146.65
CT-065,147.8
CT-025,148.95
CT-086,149.55
CT-015,151.25
CT-129,151.65
CT-119,152.0
CT-172,152.4
CT-071,155.25
CT-144,158.6
