patient_id,average_generation
CT-174,74.9
CT-062,78.0
CT-146,79.05
CT-175,79.35
CT-139,82.6
CT-154,82.9
CT-151,83.35
CT-169,84.55
CT-105,85.75
CT-126,86.35
CT-023,86.55
CT-159,86.65
CT-104,86.9
CT-176,87.9
CT-142,87.95
CT-128,89.5
CT-140,91.7
CT-134,91.95
CT-115,92.35
CT-042,93.7
CT-102,93.85
CT-120,94.4
CT-106,94.8
CT-091,95.2
CT-067,95.55
CT-090,95.85
CT-167,96.45
CT-076,96.8
CT-155,98.05
CT-131,102.45
CT-177,102.65
CT-147,103.0
CT-150,103.05
CT-074,103.05
CT-172,103.15
CT-073,103.3
CT-080,104.4
CT-125,104.9
CT-029,105.65
CT-107,106.0
CT-136,106.2
CT-098,106.35
CT-054,107.2
CT-179,108.4
CT-012,108.8
CT-121,109.0
CT-123,109.1
CT-156,110.55
CT-163,110.85
CT-053,111.9
CT-118,112.5
CT-158,112.85
CT-056,112.9
CT-137,113.4
CT-059,113.85
CT-041,114.3
CT-117,115.0
CT-119,115.2
CT-111,115.55
CT-129,115.85
CT-178,117.25
CT-144,117.35
CT-084,118.25
CT-065,118.55
CT-127,119.15
CT-087,119.2
CT-165,119.35
CT-133,120.6
CT-096,120.65
CT-138,121.55
CT-112,121.7
CT-099,121.75
CT-016,123.3
CT-024,123.5
CT-011,123.65
CT-124,123.85
CT-184,124.0
CT-052,126.0
CT-100,126.1
CT-015,126.55
CT-086,126.9
CT-049,129.55
CT-164,130.85
CT-109,132.75
CT-025,134.05
CT-143,135.25
CT-069,136.5
CT-083,136.65
CT-108,137.35
CT-160,137.45
CT-075,138.4
CT-060,139.25
CT-009,140.9
CT-051,145.35
CT-055,148.45
CT-097,156.25
CT-153,158.25
CT-071,159.9
CT-047,163.95
CT-101,168.15
