patient_id,average_generation
CT-073,45.45
CT-090,95.85
CT-176,100.3
CT-155,105.15
CT-140,106.6
CT-154,106.7
CT-153,110.25
CT-174,115.5
CT-117,115.7
CT-126,116.75
CT-102,117.4
CT-133,117.55
CT-144,119.6
CT-053,121.15
CT-172,123.0
CT-134,123.2
CT-115,123.8
CT-060,125.2
CT-138,127.75
CT-083,128.1
CT-158,128.7
CT-142,130.75
CT-023,136.6
CT-129,137.7
CT-049,139.25
CT-175,140.4
CT-054,142.25
CT-120,143.1
CT-128,143.3
CT-065,144.95
CT-165,146.85
CT-119,147.35
CT-178,148.8
CT-059,149.1
CT-091,149.8
CT-052,149.85
CT-012,152.25
CT-067,153.3
CT-108,154.75
CT-177,154.85
CT-047,155.2
CT-147,158.3
CT-111,159.8
CT-150,161.95
CT-076,163.5
CT-055,164.25
CT-024,164.6
CT-075,165.05
CT-011,166.35
CT-015,167.45
CT-160,169.3
CT-164,170.15
CT-074,171.7
CT-169,178.1
CT-084,178.15
CT-041,178.55
CT-056,179.15
CT-179,180.05
CT-029,181.35
CT-087,183.55
CT-107,185.4
CT-071,187.1
CT-109,190.2
CT-112,192.35
CT-151,193.3
CT-062,195.5
CT-118,196.7
CT-080,197.2
CT-069,197.55
CT-016,197.95
CT-124,198.1
CT-156,198.1
CT-086,199.2
CT-025,199.95
CT-146,200.7
CT-096,200.85
CT-098,201.0
CT-136,203.75
CT-100,204.1
CT-051,204.5
CT-105,204.7
CT-143,204.95
CT-097,205.15
CT-127,207.1
CT-131,208.55
CT-101,211.05
CT-159,211.4
CT-121,215.15
CT-104,215.5
CT-123,217.25
CT-167,218.55
CT-139,218.8
CT-009,219.05
CT-184,221.35
CT-106,223.25
CT-042,225.3
CT-099,225.85
CT-163,227.0
CT-137,235.0
CT-125,240.0
