patient_id,average_generation
CT-096,46.45
CT-083,54.9
CT-069,66.4
CT-055,81.4
CT-091,85.65
CT-056,98.0
CT-076,100.15
CT-129,101.05
CT-065,102.65
CT-112,106.85
CT-155,109.5
CT-123,112.05
CT-164,118.7
CT-115,119.35
CT-060,119.9
CT-054,120.25
CT-041,127.7
CT-024,129.9
CT-134,136.15
CT-071,140.1
CT-090,141.8
CT-047,142.0
CT-176,142.7
CT-049,143.35
CT-074,145.25
CT-174,147.45
CT-086,148.3
CT-150,148.6
CT-126,149.9
CT-042,151.3
CT-124,151.5
CT-025,152.95
CT-105,153.35
CT-098,156.15
CT-052,156.65
CT-184,157.6
CT-067,158.6
CT-009,159.15
CT-097,160.8
CT-107,162.25
CT-158,162.85
CT-118,163.5
CT-156,163.95
CT-108,164.65
CT-087,164.95
CT-011,165.5
CT-119,166.15
CT-121,166.45
CT-163,166.75
CT-015,167.85
CT-062,167.85
CT-100,168.4
CT-178,169.25
CT-143,169.4
CT-172,170.55
CT-073,170.9
CT-053,171.2
CT-138,171.3
CT-075,171.7
CT-144,172.45
CT-177,172.95
CT-104,173.5
CT-016,174.75
CT-117,174.95
CT-160,176.45
CT-175,176.55
CT-127,176.7
CT-084,176.8
CT-131,179.1
CT-133,179.1
CT-159,180.35
CT-165,180.55
CT-154,180.65
CT-179,181.6
CT-128,181.8
CT-169,182.45
CT-106,182.5
CT-137,182.75
CT-167,183.05
CT-125,183.7
CT-136,184.05
CT-120,184.15
CT-023,184.2
CT-102,186.15
CT-059,186.55
CT-101,186.9
CT-029,187.0
CT-147,188.0
CT-142,188.3
CT-140,189.7
CT-139,190.8
CT-080,192.5
CT-051,192.8
CT-111,193.4
CT-012,193.6
CT-099,193.8
CT-151,194.15
CT-153,194.35
CT-109,196.15
CT-146,198.65
