patient_id,average_distance
CT-090,0.0
CT-053,0.0
CT-076,0.0
CT-178,0.0
CT-056,0.8
CT-154,0.9
CT-073,0.9
CT-118,0.9
CT-129,0.95
CT-158,0.95
CT-054,0.95
CT-029,1.0
CT-041,1.0
CT-096,1.0
CT-117,1.0
CT-127,1.0
CT-144,1.0
CT-175,1.0
CT-176,1.0
CT-055,1.65
CT-075,1.85
CT-091,1.9
CT-067,1.9
CT-074,1.9
CT-140,1.9
CT-115,1.95
CT-059,1.95
CT-065,1.95
CT-134,1.95
CT-164,1.95
CT-011,2.0
CT-016,2.0
CT-101,2.0
CT-102,2.0
CT-062,2.0
CT-069,2.0
CT-146,2.0
CT-147,2.0
CT-172,2.6
CT-051,2.8
CT-128,2.8
CT-083,2.9
CT-153,2.9
CT-138,2.9
CT-139,2.9
CT-165,2.9
CT-009,2.95
CT-024,2.95
CT-112,2.95
CT-177,2.95
CT-179,2.95
CT-023,3.0
CT-087,3.0
CT-106,3.0
CT-109,3.0
CT-121,3.0
CT-156,3.15
CT-119,3.25
CT-042,3.4
CT-125,3.6
CT-100,3.7
CT-169,3.7
CT-151,3.8
CT-047,3.85
CT-126,3.85
CT-084,3.9
CT-105,3.95
CT-142,3.95
CT-174,3.95
CT-097,4.0
CT-108,4.0
CT-052,4.35
CT-143,4.4
CT-025,4.6
CT-167,4.6
CT-120,4.65
CT-060,4.7
CT-012,4.75
CT-099,4.8
CT-098,4.85
CT-124,4.85
CT-086,4.9
CT-123,4.9
CT-136,4.9
CT-131,4.95
CT-159,5.0
CT-133,5.0
CT-049,5.15
CT-150,5.4
CT-160,5.4
CT-184,5.6
CT-015,5.65
CT-080,5.85
CT-163,5.9
CT-107,5.95
CT-104,6.0
CT-137,6.8
CT-155,6.9
CT-071,7.25
CT-111,10.0
